"Date","Price","Open","High","Low","Vol.","Change %"
"22-02-2026","81,287.19","82,906.83","83,486.15","81,159.15","197.93M","-1.84%"
"15-02-2026","82,814.71","82,480.40","83,979.36","82,206.21","100.96M","0.23%"
"08-02-2026","82,626.76","84,177.51","84,487.34","82,534.55","151.04M","-1.14%"
"01-02-2026","83,580.40","82,388.97","85,871.73","79,899.42","113.53M","1.59%"
"25-01-2026","82,269.78","81,436.79","82,689.96","81,088.59","97.65M","0.90%"
"18-01-2026","81,537.70","83,494.49","83,539.93","81,124.45","86.59M","-2.43%"
"11-01-2026","83,570.35","83,435.31","84,258.03","82,861.07","60.42M","-0.01%"
"04-01-2026","83,576.24","85,640.05","85,883.50","83,402.28","93.88M","-2.55%"
"28-12-2025","85,762.01","85,004.75","85,812.27","84,470.94","110.34M","0.85%"
"21-12-2025","85,041.45","85,145.90","85,738.18","84,937.82","25.47M","0.13%"
"14-12-2025","84,929.36","84,891.75","85,278.63","84,238.43","55.51M","-0.40%"
"07-12-2025","85,267.66","85,624.84","85,722.97","84,150.19","51.94M","-0.52%"
"30-11-2025","85,712.37","86,065.92","86,159.02","84,763.64","57.49M","0.01%"
"23-11-2025","85,706.67","85,320.04","86,055.86","84,478.13","51.86M","0.56%"
"16-11-2025","85,231.92","84,700.50","85,801.70","84,525.98","68.47M","0.79%"
"09-11-2025","84,562.78","83,198.20","84,919.43","83,124.03","71.95M","1.62%"
"02-11-2025","83,216.28","83,835.10","84,127.00","82,670.95","44.72M","-0.86%"
"26-10-2025","83,938.71","84,297.39","85,105.83","83,905.66","65.93M","-0.32%"
"19-10-2025","84,211.88","84,269.30","85,290.06","83,957.15","53.62M","0.31%"
"12-10-2025","83,952.19","82,049.16","84,172.24","81,781.62","74.00M","1.76%"
"05-10-2025","82,500.82","81,274.79","82,654.11","81,155.88","74.79M","1.59%"
"28-09-2025","81,207.17","80,588.77","81,251.99","80,159.90","51.54M","0.97%"
"21-09-2025","80,426.46","82,151.07","82,583.16","80,332.41","60.21M","-2.66%"
"14-09-2025","82,626.23","81,925.51","83,141.21","81,744.70","57.66M","0.88%"
"07-09-2025","81,904.70","80,904.40","81,992.85","80,733.07","51.49M","1.48%"
"31-08-2025","80,710.76","79,828.99","81,456.67","79,818.38","56.51M","1.13%"
"24-08-2025","79,809.65","81,501.06","81,799.06","79,741.76","50.49M","-1.84%"
"17-08-2025","81,306.85","81,315.79","82,231.17","81,202.42","56.30M","0.88%"
"10-08-2025","80,597.66","79,885.36","80,997.67","79,772.46","38.48M","0.93%"
"03-08-2025","79,857.79","80,765.83","81,093.19","79,775.84","86.78M","-0.92%"
"27-07-2025","80,599.91","81,299.97","81,803.27","80,495.57","49.03M","-1.06%"
"20-07-2025","81,463.09","81,918.53","82,786.43","81,397.69","73.24M","-0.36%"
"13-07-2025","81,757.73","82,537.87","82,784.75","81,608.13","52.66M","-0.90%"
"06-07-2025","82,500.47","83,398.08","83,812.31","82,442.25","47.63M","-1.12%"
"29-06-2025","83,432.89","84,027.33","84,099.53","83,015.83","54.23M","-0.74%"
"22-06-2025","84,058.90","81,704.07","84,089.35","81,476.76","153.91M","2.00%"
"15-06-2025","82,408.17","81,034.45","82,494.49","81,012.31","63.38M","1.59%"
"08-06-2025","81,118.60","82,574.55","82,783.51","80,354.59","50.43M","-1.30%"
"01-06-2025","82,188.99","81,214.42","82,299.89","80,575.09","71.50M","0.91%"
"25-05-2025","81,451.01","81,928.95","82,492.24","81,106.98","74.32M","-0.33%"
"18-05-2025","81,721.08","82,354.92","82,424.10","80,489.92","47.02M","-0.74%"
"11-05-2025","82,330.59","80,803.80","82,718.14","80,651.07","70.04M","3.62%"
"04-05-2025","79,454.47","80,661.62","81,049.03","78,968.34","49.35M","-1.30%"
"27-04-2025","80,501.99","79,343.63","81,177.93","79,341.35","49.57M","1.63%"
"20-04-2025","79,212.53","78,903.09","80,254.55","78,605.81","60.87M","0.84%"
"13-04-2025","78,553.20","76,852.06","78,616.77","76,435.07","33.54M","4.52%"
"06-04-2025","75,157.26","71,449.94","75,467.33","71,425.01","69.81M","-0.28%"
"30-03-2025","75,364.69","76,882.58","77,487.05","75,240.55","39.94M","-2.65%"
"23-03-2025","77,414.92","77,456.27","78,741.69","77,082.51","62.62M","0.66%"
"16-03-2025","76,905.51","73,830.03","77,041.94","73,796.06","51.67M","4.17%"
"09-03-2025","73,828.91","74,474.98","74,741.25","73,598.16","42.02M","-0.68%"
"02-03-2025","74,332.58","73,427.65","74,586.43","72,633.54","42.56M","1.55%"
"23-02-2025","73,198.10","74,893.45","74,907.04","73,141.27","32.92M","-2.81%"
"16-02-2025","75,311.06","75,641.41","76,338.58","75,112.41","41.41M","-0.83%"
"09-02-2025","75,939.21","77,789.30","77,849.58","75,388.39","43.50M","-2.47%"
"02-02-2025","77,860.19","77,637.01","78,735.41","76,756.09","66.01M","2.19%"
"26-01-2025","76,190.46","76,978.53","77,337.36","75,641.87","79.32M","-0.56%"
"19-01-2025","76,619.33","76,629.90","77,319.50","76,249.72","61.53M","-0.98%"
"12-01-2025","77,378.91","79,281.65","79,532.67","77,099.55","46.56M","-2.33%"
"05-01-2025","79,223.11","78,637.58","80,072.99","77,560.79","39.45M","0.67%"
"29-12-2024","78,699.07","78,488.64","79,043.15","78,173.38","29.76M","0.84%"
"22-12-2024","78,041.59","82,000.31","82,116.44","77,874.59","30.25M","-4.98%"
"15-12-2024","82,133.12","81,602.58","82,213.92","80,082.82","37.36M","0.52%"
"08-12-2024","81,709.12","79,743.87","82,317.74","79,308.95","40.29M","2.39%"
"01-12-2024","79,802.79","80,193.47","80,511.15","78,918.92","46.94M","0.87%"
"24-11-2024","79,117.11","77,863.54","79,218.19","76,802.73","41.26M","1.98%"
"17-11-2024","77,580.31","79,298.46","80,102.14","77,424.81","40.78M","-2.40%"
"10-11-2024","79,486.32","79,713.14","80,569.73","78,232.60","56.84M","-0.30%"
"03-11-2024","79,724.12","79,653.67","80,539.81","79,287.93","37.83M","0.41%"
"27-10-2024","79,402.29","81,770.02","81,770.02","79,137.98","38.12M","-2.24%"
"20-10-2024","81,224.75","81,576.93","82,300.44","80,409.25","34.90M","-0.19%"
"13-10-2024","81,381.36","81,926.99","82,319.21","80,726.06","48.63M","-0.38%"
"06-10-2024","81,688.45","85,208.76","85,359.65","81,532.68","55.96M","-4.54%"
"29-09-2024","85,571.85","84,651.15","85,978.25","84,607.38","51.87M","1.22%"
"22-09-2024","84,544.31","82,985.33","84,694.46","82,700.63","57.12M","1.99%"
"15-09-2024","82,890.94","80,973.75","83,116.19","80,895.05","42.31M","2.10%"
"08-09-2024","81,183.93","82,725.28","82,725.28","80,981.93","44.38M","-1.43%"
"01-09-2024","82,365.77","81,388.26","82,637.03","81,278.44","45.73M","1.58%"
"25-08-2024","81,086.21","80,680.25","81,236.45","80,332.65","38.90M","0.81%"
"18-08-2024","80,436.84","79,330.12","80,518.21","78,889.38","41.67M","0.92%"
"11-08-2024","79,705.91","78,588.19","79,984.24","78,295.86","60.24M","-1.58%"
"04-08-2024","80,981.95","81,679.65","82,129.49","80,868.91","71.12M","-0.43%"
"28-07-2024","81,332.72","80,408.90","81,427.18","79,224.32","62.41M","0.90%"
"21-07-2024","80,604.65","80,686.54","81,587.76","80,390.37","50.30M","0.11%"
"14-07-2024","80,519.34","79,915.00","80,893.51","79,435.76","56.23M","0.65%"
