Year,Initial Investment,Wins,Losses,Total Weeks,Final Capital,Net Profit (After Tax),Net Profit %,Next Year Investment
2011,200000.0,38,14,52,184316.3,-15683.7,-7.84,184316.3
2012,184316.3,50,2,52,335091.54,120620.2,65.44,304936.5
2013,304936.5,47,6,53,461373.18,125149.34,41.04,430085.84
2014,430085.84,51,1,52,859430.93,343476.07,79.86,773561.91
2015,773561.91,48,4,52,1321292.6,438184.55,56.65,1211746.46
2016,1211746.46,51,1,52,2463484.19,1001390.18,82.64,2213136.64
2017,2213136.64,52,0,52,4776635.66,2050799.22,92.66,4263935.86
2018,4263935.86,50,2,52,8250688.53,3189402.13,74.8,7453337.99
2019,7453337.99,51,2,53,14655399.73,5761649.39,77.3,13214987.38
2020,13214987.38,39,13,52,13875516.88,528423.6,4.0,13743410.98
2021,13743410.98,50,2,52,26641703.54,10318634.04,75.08,24062045.02
2022,24062045.02,47,5,52,39478979.18,12333547.33,51.26,36395592.35
2023,36395592.35,50,2,52,70592546.14,27357563.03,75.17,63753155.38
2024,63753155.38,50,3,53,118724194.68,43976831.44,68.98,107729986.82
2025,107729986.82,51,1,52,220968780.91,90591035.27,84.09,198321022.09
