Week,Ref_Price,Expiry_Price,Pct_Move,Outcome,PL_This_Week,Capital
2011-01-04,6060.35,6146.35,1.42,Win,2700.0,202700.0
2011-01-11,6079.8,5754.1,-5.36,Loss,-8408.0,194292.0
2011-01-18,5863.25,5724.05,-2.37,Win,2614.38,196906.38
2011-01-25,5691.05,5687.4,-0.06,Win,2653.6,199559.98
2011-02-01,5604.3,5417.2,-3.34,Win,2693.4,202253.38
2011-02-08,5432.0,5312.55,-2.2,Win,2733.8,204987.18
2011-02-15,5253.55,5481.0,4.33,Loss,-8499.49,196487.69
2011-02-22,5481.7,5469.2,-0.23,Win,2647.32,199135.0
2011-03-01,5437.35,5522.3,1.56,Win,2687.03,201822.03
2011-03-08,5536.2,5520.8,-0.28,Win,2727.33,204549.36
2011-03-15,5531.0,5449.65,-1.47,Win,2768.24,207317.6
2011-03-22,5511.15,5413.85,-1.77,Win,2809.76,210127.36
2011-03-29,5480.25,5736.35,4.67,Loss,-8705.09,201422.27
2011-04-05,5787.65,5910.05,2.11,Win,2721.33,204143.6
2011-04-12,5891.75,5911.5,0.34,Win,2762.15,206905.76
2011-04-19,5911.5,5740.75,-2.89,Win,2803.59,209709.34
2011-04-26,5851.65,5868.4,0.29,Win,2845.64,212554.98
2011-05-03,5833.9,5565.25,-4.6,Loss,-8802.2,203752.78
2011-05-10,5537.15,5541.25,0.07,Win,2756.29,206509.08
2011-05-17,5565.05,5438.95,-2.27,Win,2797.64,209306.71
2011-05-24,5420.6,5394.85,-0.48,Win,2839.6,212146.31
2011-05-31,5348.95,5592.0,4.54,Loss,-8785.85,203360.46
2011-06-07,5592.0,5556.15,-0.64,Win,2750.41,206110.87
2011-06-14,5526.85,5500.5,-0.48,Win,2791.66,208902.53
2011-06-21,5447.5,5275.85,-3.15,Win,2833.54,211736.07
2011-06-28,5278.3,5545.3,5.06,Loss,-8769.44,202966.63
2011-07-05,5600.45,5632.1,0.57,Win,2744.5,205711.13
2011-07-12,5625.45,5526.15,-1.77,Win,2785.67,208496.79
2011-07-19,5585.45,5613.55,0.5,Win,2827.45,211324.24
2011-07-26,5567.05,5574.85,0.14,Win,2869.86,214194.11
2011-08-02,5546.8,5456.55,-1.63,Win,2912.91,217107.02
2011-08-09,5404.8,5072.85,-6.14,Loss,-8984.28,208122.74
2011-08-16,5161.0,5035.8,-2.43,Win,2821.84,210944.58
2011-08-23,5056.6,4948.9,-2.13,Win,2864.17,213808.75
2011-08-30,4888.9,5001.0,2.29,Win,2907.13,216715.88
2011-09-06,5001.0,5064.3,1.27,Win,2950.74,219666.62
2011-09-13,5124.65,4940.95,-3.58,Loss,-9086.66,210579.95
2011-09-20,5012.55,5140.2,2.55,Win,2858.7,213438.65
2011-09-27,5133.25,4971.25,-3.16,Win,2901.58,216340.23
2011-10-04,4945.9,4772.15,-3.51,Loss,-8953.61,207386.62
2011-10-11,4751.3,4974.35,4.69,Loss,-8595.46,198791.16
2011-10-18,5099.4,5037.5,-1.21,Win,2681.87,201473.03
2011-10-25,5139.15,5191.6,1.02,Win,2722.1,204195.12
2011-11-01,5191.6,5257.95,1.28,Win,2762.93,206958.05
2011-11-08,5258.45,5289.35,0.59,Win,2804.37,209762.42
2011-11-15,5221.05,5068.5,-2.92,Win,2846.44,212608.85
2011-11-22,5030.45,4812.35,-4.34,Loss,-8804.35,203804.5
2011-11-29,4706.45,4805.1,2.1,Win,2757.07,206561.57
2011-12-06,4832.05,5062.6,4.77,Loss,-8562.46,197999.11
2011-12-13,5062.6,4800.6,-5.18,Loss,-8219.96,189779.14
2011-12-20,4763.25,4544.2,-4.6,Loss,-7891.17,181887.98
2011-12-27,4693.15,4750.5,1.22,Win,2428.32,184316.3
