Year,Initial Investment,Wins,Losses,Total Weeks,Final Capital,Net Profit (After Tax),Net Profit %,Next Year Investment
2015,200000.0,47,5,52,307751.56,86201.25,43.1,286201.25
2016,286201.25,48,5,53,454262.79,134449.23,46.98,420650.48
2017,420650.48,52,0,52,888960.16,374647.74,89.06,795298.22
2018,795298.22,50,2,52,1521706.65,581126.74,73.07,1376424.96
2019,1376424.96,49,3,52,2503781.98,901885.62,65.52,2278310.58
2020,2278310.58,37,15,52,2126109.15,-152201.43,-6.68,2126109.15
2021,2126109.15,47,6,53,3329663.16,962843.21,45.29,3088952.36
2022,3088952.36,46,6,52,4775290.91,1349070.84,43.67,4438023.2
2023,4438023.2,52,0,52,9602132.88,4131287.74,93.09,8569310.94
2024,8569310.94,49,3,52,15704604.71,5708235.02,66.61,14277545.96
2025,14277545.96,49,3,52,26178007.62,9520369.33,66.68,23797915.29
