Week,Ref_Price,Expiry_Price,Pct_Move,Outcome,PL_This_Week,Capital
2011-01-07,19691.81,18860.44,-4.22,Loss,-8300.0,191700.0
2011-01-14,18860.44,19007.53,0.78,Win,2575.5,194275.5
2011-01-21,19007.53,18395.97,-3.22,Win,2614.13,196889.63
2011-01-28,18395.97,18008.15,-2.11,Win,2653.34,199542.98
2011-02-04,18008.15,17728.61,-1.55,Win,2693.14,202236.12
2011-02-11,17728.61,18211.52,2.72,Win,2733.54,204969.66
2011-02-18,18211.52,17700.91,-2.8,Win,2774.54,207744.21
2011-02-25,17700.91,18486.45,4.44,Loss,-8609.77,199134.44
2011-03-04,18486.45,18174.09,-1.69,Win,2687.02,201821.46
2011-03-11,18174.09,17878.81,-1.62,Win,2727.32,204548.78
2011-03-18,17878.81,18815.64,5.24,Loss,-8481.95,196066.83
2011-03-25,18815.64,19420.39,3.21,Win,2641.0,198707.83
2011-04-01,19420.39,19451.45,0.16,Win,2680.62,201388.45
2011-04-08,19451.45,19386.82,-0.33,Win,2720.83,204109.27
2011-04-15,19386.82,19602.23,1.11,Win,2761.64,206870.91
2011-04-22,19602.23,19135.96,-2.38,Win,2803.06,209673.98
2011-04-29,19135.96,18518.81,-3.23,Win,2845.11,212519.09
2011-05-06,18518.81,18531.28,0.07,Win,2887.79,215406.87
2011-05-13,18531.28,18326.09,-1.11,Win,2931.1,218337.98
2011-05-20,18326.09,18266.1,-0.33,Win,2975.07,221313.05
2011-05-27,18266.1,18376.48,0.6,Win,3019.7,224332.74
2011-06-03,18376.48,18268.54,-0.59,Win,3064.99,227397.73
2011-06-10,18268.54,17870.53,-2.18,Win,3110.97,230508.7
2011-06-17,17870.53,18240.68,2.07,Win,3157.63,233666.33
2011-06-24,18240.68,18762.8,2.86,Win,3204.99,236871.32
2011-07-01,18762.8,18858.04,0.51,Win,3253.07,240124.39
2011-07-08,18858.04,18561.92,-1.57,Win,3301.87,243426.26
2011-07-15,18561.92,18722.3,0.86,Win,3351.39,246777.65
2011-07-22,18722.3,18197.2,-2.8,Win,3401.66,250179.32
2011-07-29,18197.2,17305.87,-4.9,Loss,-10307.17,239872.15
2011-08-05,17305.87,16839.63,-2.69,Win,3298.08,243170.23
2011-08-12,16839.63,16141.67,-4.14,Loss,-10026.81,233143.42
2011-08-19,16141.67,15848.83,-1.81,Win,3197.15,236340.57
2011-08-26,15848.83,16821.46,6.14,Loss,-9753.62,226586.95
2011-09-02,16821.46,16866.97,0.27,Win,3098.8,229685.75
2011-09-09,16866.97,16933.83,0.4,Win,3145.29,232831.04
2011-09-16,16933.83,16162.06,-4.56,Loss,-9613.24,223217.8
2011-09-23,16162.06,16453.76,1.8,Win,3048.27,226266.06
2011-09-30,16453.76,16232.54,-1.34,Win,3093.99,229360.05
2011-10-07,16232.54,17082.69,5.24,Loss,-9474.4,219885.65
2011-10-14,17082.69,16785.64,-1.74,Win,2998.28,222883.94
2011-10-21,16785.64,17804.8,6.07,Loss,-9215.36,213668.58
2011-10-28,17804.8,17562.61,-1.36,Win,2905.03,216573.61
2011-11-04,17562.61,17192.82,-2.11,Win,2948.6,219522.21
2011-11-11,17192.82,16371.51,-4.78,Loss,-9080.89,210441.32
2011-11-18,16371.51,15695.43,-4.13,Loss,-8717.65,201723.67
2011-11-25,15695.43,16846.83,7.34,Loss,-8368.95,193354.72
2011-12-02,16846.83,16213.46,-3.76,Loss,-8034.19,185320.53
2011-12-09,16213.46,15491.35,-4.45,Loss,-7712.82,177607.71
2011-12-16,15491.35,15738.7,1.6,Win,2364.12,179971.83
2011-12-23,15738.7,15454.92,-1.8,Win,2399.58,182371.41
2011-12-30,15454.92,15867.73,2.67,Win,2435.57,184806.98
